measurement_id,temperature_degC,depth_m
38,-9.870593,60.751290000000004
38,-10.130983,66.14765
38,-10.351241,71.00374599999999
38,-10.350634,73.42681999999999
38,-10.631226,78.554855
38,-10.730815,82.867065
38,-10.969788000000001,93.37791
38,-11.069242,98.22858000000001
38,-11.007421,103.87971
38,-11.026339,108.72677
38,-10.944721000000001,113.030846
39,-7.1912009999999995,0.0
39,-8.037225,0.1875
39,-8.925549499999999,0.328125
39,-9.6446705,0.515625
39,-10.504794,0.671875
39,-11.322617,0.796875
39,-12.084039,0.984375
39,-12.901861,1.140625
39,-13.606881,1.328125
39,-14.001692000000002,1.484375
39,-14.170897,1.578125
39,-14.368301999999998,1.796875
39,-14.452905,2.046875
39,-14.509306,2.328125
39,-14.509306,2.609375
39,-14.424704,2.921875
39,-14.340101,3.234375
39,-14.170897,3.703125
39,-13.945291000000001,4.171875
39,-13.776086,4.640625
39,-13.550479999999999,5.078125
39,-13.240271,5.515625
39,-12.930062,5.984375
39,-12.676255000000001,6.453125
39,-12.337846,6.890625
39,-12.112239,7.390625
39,-11.773829,7.921875
39,-11.689227,8.296875
39,-11.548224000000001,9.046875
39,-11.407219,9.765625
39,-11.407219,10.390625
39,-11.407219,11.078125
39,-11.407219,11.828125
39,-11.407219,12.546875
39,-11.407219,13.296875
39,-11.491822,14.078125
39,-11.491822,14.515625
39,-11.491822,14.890625
40,-5.6081223,5.2211885
40,-4.629293,11.350636
40,-1.1362895,53.091602
40,-0.0554698,104.0968
40,-0.0347351,151.84395
40,-0.0462101,203.89105
40,-0.0414695,254.98189
41,-0.0148422,14.803316
41,0.00575965,61.11801
41,-0.0221968,111.25648000000001
41,-0.09795830000000001,173.33594
41,-0.1911759,223.0021
41,-0.2190438,274.09555
41,-0.24797489999999997,313.72934
41,-0.2470002,324.23400000000004
42,-3.0964742000000003,6.048333
42,-2.3734612,32.048035
42,-0.8643456,74.2093
42,-0.0058926000000000004,123.35994
43,-3.5849807,8.933848
43,-1.7513753,43.707029999999996
43,-0.3080967,83.00171
43,-0.026450099999999997,103.68865
43,-0.0081078,113.11419
43,-0.0201145,132.9915
44,-3.4864864,15.961801000000001
44,-0.8756757,56.275580000000005
44,-0.0162162,96.38472
44,-0.0162162,107.23056000000001
45,-4.1675677,14.529330999999999
45,-1.2648648999999998,55.661663
45,-0.0162162,95.97544
45,-0.0162162,106.00273
46,-8.994846,9.689953
46,-7.0637479999999995,14.667974
46,-4.579535,23.771585
46,-3.335086,32.938774
46,-2.090637,42.105965000000005
46,-1.3053596,51.296703
46,-0.7955853,60.501569999999994
47,-7.0678997,11.032052
47,-5.452047299999999,16.875999999999998
47,-4.206076599999999,20.907042999999998
47,-3.049934,26.804314
47,-1.9852047,33.176136
47,-1.7019814999999998,39.638603
47,-0.9601056999999998,45.119972
47,-0.7239102,50.659991999999995
47,-0.3022457,57.570354
47,0.131572,75.150185
47,0.05389696,87.68588000000001
48,-4.2748957,10.484469
48,-2.8886267999999995,15.862129000000001
48,-1.8837293000000002,20.816042000000003
48,-1.7183627000000001,27.529015
48,-1.3310962,33.915802
48,-1.1672411,39.099792
48,-0.9701312,45.809853000000004
48,-0.7739283,51.602524
48,-0.48219359999999994,57.692253
48,-0.41266099999999994,63.802369999999996
48,-0.17836629999999998,76.01386
49,-5.712962,11.93189
49,-4.820302,16.749092
49,-4.0803747,21.888695000000002
49,-3.5831337,29.200577000000003
49,-3.0871422,35.285465
49,-2.742634,42.919746
50,-11.152823,8.548364
50,-10.282734,15.79923
50,-9.668885000000001,22.764744
50,-9.119288000000001,29.430271
50,-8.759376,38.854202
51,-5.179821,9.354856
51,-4.0645940000000005,13.23024
51,-2.750556,16.976353
51,-1.7411869,21.344732
52,-4.4769287,9.941908999999999
52,-4.2893167000000005,14.828303
52,-3.4254775,19.93571
52,-1.1276813,30.252926000000002
53,-6.2666254,10.126781
53,-4.4727106,20.216959
53,-2.2393432,35.062405
53,-1.6142876,39.811188
53,-1.0289539,44.683679999999995
53,-0.483292,49.802209999999995
54,-5.773893,15.491807999999999
54,-4.510373599999999,25.355875
54,-2.1556307999999995,45.212357
54,-1.0907714,55.572662
54,-0.2800623,60.43728
54,-0.0397219,64.58789
55,-11.1,15.0
56,-12.2,15.0
57,-9.5,15.0
58,-10.5,15.0
59,-5.5789475,115.09971999999999
59,-4.0526314,104.5584
59,-3.5701754,100.2849
59,-3.122807,95.4416
59,-2.6842105,89.74359
59,-2.3421052,85.18519
59,-2.0175438000000003,80.34188
59,-1.7017543000000002,74.643875
59,-1.4561403999999998,69.80057
59,-1.2631578,64.95727
59,-1.0614035,59.82906
59,-0.9035088,54.415955000000004
59,-0.7280701999999999,49.28775
59,-0.622807,44.159546
59,-0.4824562,39.88604
59,-0.4210526,35.327637
59,-0.3157895,29.62963
59,-0.11403510000000001,19.94302
59,-0.09649119999999999,10.541310000000001
59,-0.07894739999999999,0.85470086
60,-6.7017546,190.02848999999998
60,-5.2894735,179.77208000000002
60,-4.377193,170.08546
60,-3.6052632000000004,160.11395
60,-2.8596492000000002,149.85754
60,-2.3421052,140.17094
60,-1.7105263,129.91454
60,-0.9736841999999999,110.25641
60,-0.6578946999999999,100.0
60,-0.47368420000000006,90.02849
60,-0.2807018,80.34188
60,-0.23684210000000003,69.80057
60,-0.1929825,59.54416
60,-0.1578947,49.00285
60,-0.131579,39.031338
60,-0.14912279999999997,29.344728000000003
60,-0.1403509,19.65812
60,-0.131579,9.686608999999999
60,-0.09649119999999999,0.0
61,-1.8245613999999997,140.17094
61,-0.4824562,130.19943
61,-0.245614,119.94301999999999
61,0.05263158,110.54131000000001
61,0.14912279999999997,99.1453
61,0.06140351,90.88319399999999
