study_id,measurement_id,temperature_degC,depth_m,to_bottom,Unnamed: 5,Unnamed: 6,Unnamed: 7
6,13,-11.37544,18.466412,True,,,
6,13,-11.499722,28.206616999999998,True,,,
6,13,-11.678586,33.347996,True,,,
6,13,-11.446273,38.16941,True,,,
6,13,-11.536272,43.42208,True,,,
6,13,-11.526203,48.348403999999995,True,,,
6,13,-11.450532,58.31165,True,,,
6,13,-11.597105,68.37980999999999,True,,,
6,13,-11.365903,78.45572,True,,,
6,13,-11.335694,93.23467,True,,,
6,13,-11.037778999999999,103.09302,True,,,
6,14,-10.941761,16.934229000000002,False,,,
6,14,-10.932687,26.594172999999998,False,,,
6,14,-11.225926,47.22489,False,,,
6,14,-11.350185,56.882088,False,,,
6,14,-11.362338000000001,61.821487,False,,,
6,14,-11.385602,66.76066,False,,,
6,14,-11.242223,71.81303,False,,,
6,14,-11.309931,76.75128000000001,False,,,
6,14,-11.365879,78.61622,False,,,
6,14,-11.3443985,82.1293,False,,,
6,14,-11.256528,86.96098,False,,,
6,14,-11.224329,92.34038000000001,False,,,
6,14,-11.158635,96.952065,False,,,
8,15,-13.761322,4.9322367,,,,
8,15,-14.430087,5.9683676,,,,
8,15,-14.583189,7.9736485,,,,
8,15,-14.202822,10.027305,,,,
8,15,-13.976194,11.974321,,,,
8,15,-13.758607999999999,13.921435,,,,
8,15,-13.721804999999998,16.032965,,,,
8,15,-13.657925,17.981742999999998,,,,
8,15,-13.440354999999998,19.874706,,,,
8,15,-13.710997,21.881262,,,,
8,15,-13.692276000000001,23.992985,,,,
8,15,-13.547023000000001,25.940884,,,,
8,15,-13.401735999999998,27.997086,,,,
8,16,-11.980078,5.1024769999999995,,,,
8,16,-11.812727,5.3714247,,,,
8,16,-11.441916,5.7193966,,,,
8,16,-11.306161999999999,6.151142,,,,
8,16,-11.333188999999999,6.4763465,,,,
8,16,-11.378249,6.9642024000000005,,,,
8,16,-11.608654,7.4811416,,,,
8,16,-11.875241,7.9443207,,,,
8,16,-12.0921,8.406961,,,,
8,16,-12.186865,8.9765835,,,,
8,16,-12.489479,9.900444,,,,
8,16,-12.886703,11.908369,,,,
8,16,-12.935818,13.939601000000001,,,,
8,16,-12.985236,14.969024,,,,
8,16,-13.070828,15.971762,,,,
8,16,-13.070231,17.948303,,,,
8,16,-13.128404999999999,19.92548,,,,
8,16,-13.181132999999999,24.962185,,,,
8,16,-13.152505,29.943857,,,,
8,16,-13.078669,34.92504,,,,
8,17,-2.1609057999999997,5.0429699999999995,,,,
8,17,-3.2944665,6.0380015,,,,
8,17,-5.393719,7.9761686,,,,
8,17,-7.115387400000001,9.968623,,,,
8,17,-8.102865,12.069562,,,,
8,17,-8.670653999999999,14.014446,,,,
8,17,-8.986806,16.118327999999998,,,,
8,17,-9.197915,18.012145999999998,,,,
8,17,-9.2832985,20.11704,,,,
8,17,-9.599302999999999,22.010397,,,,
8,17,-9.747513,23.95712,,,,
8,17,-10.000728,26.061281,,,,
8,17,-10.107016,28.060821999999998,,,,
8,17,-10.108410000000001,30.060821999999998,,,,
8,18,-8.272763000000001,4.99862,,,,
8,18,-7.350349400000001,5.950037,,,,
8,18,-5.715433,8.027389999999999,,,,
8,18,-4.555991000000001,10.03248,,,,
8,18,-3.9420023,12.03518,,,,
8,18,-3.635729,14.071617000000002,,,,
8,18,-3.6790317999999997,16.001257,,,,
8,18,-3.7363693999999996,18.001013,,,,
8,18,-3.8357136,20.070759,,,,
8,18,-3.9769428,22.035057000000002,,,,
8,19,-3.9790699999999997,5.017452,,,,
8,19,-4.693063700000001,6.031867,,,,
8,19,-4.080468,10.034566,,,,
8,19,-2.4336202,15.059348000000002,,,,
8,19,-2.6363924,25.058489,,,,
12,20,0.0050251256,0.93877554,,,,
12,20,-0.050251257,1.9387755000000002,,,,
12,20,-0.1557789,2.9387755,,,,
12,20,-0.19095477,3.9795917999999997,,,,
12,20,-0.22110553,4.9591837,,,,
12,20,-0.20100503,5.9591837,,,,
12,20,-0.1557789,7.0,,,,
12,20,-0.10552764,8.020408999999999,,,,
12,20,-0.07035176,9.0,,,,
12,20,-0.040201005,10.0,,,,
12,21,-0.38693467,0.93877554,,,,
12,21,-0.6080401999999999,1.8979592,,,,
12,21,-1.0,3.9183673999999997,,,,
12,21,-1.040201,5.979592,,,,
12,21,-0.8190955,8.040816,,,,
12,21,-0.6834170999999999,9.979591000000001,,,,
12,22,-1.4924623,1.8571428,,,,
12,22,-1.7939699,3.9591837,,,,
12,22,-1.8994974999999998,5.938775499999999,,,,
12,22,-1.7889447,8.020408999999999,,,,
12,22,-1.4924623,9.959184,,,,
12,23,0.0,10.0,,,,
12,24,0.0,10.0,,,,
12,25,0.0,10.0,,,,
