study_id,measurement_id,temperature_degC,depth_m,Unnamed: 4,Unnamed: 5,Unnamed: 6
8,4,-3.7738757000000005,20.008762,,,
8,4,-3.966297,22.113262,,,
8,5,-3.9362957,4.984153,,,
8,5,-4.6821556,5.9859656999999995,,,
8,5,-4.0732783999999995,10.055389,,,
8,5,-2.3949492,15.086018,,,
8,5,-2.6306071,25.085104,,,
12,1,0.001265308,0.97873795,,,
12,1,-0.0464741,1.9159636000000002,,,
12,1,-0.14651291,2.967782,,,
12,1,-0.19060922,4.01841,,,
12,1,-0.22084825,4.9694486,,,
12,1,-0.19507141,5.9760349999999995,,,
12,1,-0.1552906,6.996508599999999,,,
12,1,-0.09799109,8.044979,,,
12,1,-0.05475056,9.037009,,,
12,1,-0.029010400000000006,10.015226,,,
12,2,-0.38337618,0.9585521999999999,,,
12,2,-0.6093957,1.9279412,,,
12,2,-0.9948745999999999,3.9645980000000005,,,
12,2,-1.0534516999999999,4.6325392999999995,,,
12,2,-1.0561228,5.2709209999999995,,,
12,2,-1.0202053,6.0077767,,,
12,2,-0.8043204,8.017453,,,
12,2,-0.6688713000000001,10.014656,,,
12,3,-1.490527,1.9183195,,,
12,3,-1.7884856,4.038224,,,
12,3,-1.8539089,4.819791,,,
12,3,-1.8776319,5.4018807,,,
12,3,-1.8943436999999999,5.998006299999999,,,
12,3,-1.8972533,6.451988,,,
12,3,-1.8755596999999997,7.004741,,,
12,3,-1.8399904999999999,7.47209,,,
12,3,-1.7797996999999999,8.052394,,,
12,3,-1.6490939999999998,9.085117,,,
12,3,-1.4870671999999998,10.003695,,,
12,4,0.0,10.0,,,
12,5,0.0,10.0,,,
12,6,0.0,10.0,,,
12,7,-5.872063,0.042611800000000005,,,
12,7,-4.8074512,0.9091651,,,
12,7,-4.6818266,1.9575582999999999,,,
12,7,-4.4957705,2.9645297999999998,,,
12,7,-3.9866745000000003,3.9256589999999996,,,
12,7,-3.2549474,4.9840503,,,
12,7,-2.4627886,6.001020400000001,,,
12,7,-1.7273203999999998,7.948240299999999,,,
12,7,-1.3392582,8.951811,,,
12,7,-0.56729984,9.969121000000001,,,
12,8,-3.649743,0.03969863,,,
12,8,-2.8577542,0.9388299999999999,,,
12,8,-2.267431,2.0017311999999996,,,
12,8,-2.2026633999999996,2.992527,,,
12,8,-1.7137683999999997,3.9559260000000003,,,
12,8,-1.4469097,4.963556,,,
12,8,-1.2101819999999999,6.012179,,,
12,8,-1.0747122,7.001782400000001,,,
12,8,-0.47046286,8.975367,,,
12,8,-0.6278166000000001,9.990152,,,
12,9,-3.922451,0.03509836,,,
12,9,-3.261596,0.9861276,,,
12,9,-3.1463267999999998,1.9760718000000002,,,
12,9,-2.9500852,3.0051353,,,
12,9,-2.4713755,3.9484633999999996,,,
12,9,-1.9215384999999998,4.991804599999999,,,
12,9,-1.0443262,7.0215119999999995,,,
12,9,-0.8282241,7.96927,,,
12,9,-0.5208792999999999,8.99646,,,
12,9,-0.37522423,10.006134,,,
13,1,-11.157803999999999,1.07390538,,,
13,1,-12.924858,1.35395635,,,
13,1,-12.783553999999999,1.64801961,,,
13,1,-11.062808,1.9570634999999998,,,
13,1,-10.066324,2.24860854,,,
13,1,-8.467406,2.85249061,,,
13,1,-8.06297,3.14577893,,,
13,1,-7.527617,3.4190498,,,
13,1,-6.9251823,3.7313872000000003,,,
13,1,-6.4549637,4.02448166,,,
15,1,0.031055901,5.0746269999999996,,,
15,1,0.015527951000000002,10.0,,,
15,1,-0.01552795,15.0,,,
15,1,-0.01552795,19.925373,,,
15,2,-0.08902077,5.053381,,,
15,2,-0.07418398,9.964413,,,
15,2,-0.02967359,14.982206,,,
15,2,-0.01552795,20.0,,,
15,3,0.018667148,5.1173058,,,
15,3,-0.13765894,10.053134,,,
15,3,-0.86464065,15.056920999999999,,,
15,3,-0.85589325,20.066011,,,
15,4,-11.142745,3.1406967999999997,,,
15,4,-14.257251,5.05122,,,
15,4,-14.419406,6.978486,,,
15,4,-14.327797,9.020614,,,
